Category______________,Author___________________________________,Date of publication,Link,Language_______________
Packaging-free / Zero-Waste Shops,"Utrecht University

(Netherlands)

Saladino, Giulia","2018, September","""<a href=""https://www.bepakt.com/wp-content/uploads/2018/09/Master-thesis_Giulia-Saladino.pdf"" target=""_blank"">The Packaging-free Grocery Stores Phenomenon in Italy: key characteristics, drivers and barriers. A sustainable entrepreneurship perspective</a>""",English (abstract in Italian)
"Packaging-Free / Zero-Waste Shops ","Jönköping International Business School

(Sweden)

Özülkü, Esra
Senger, Pia","2018, May","""<a href=""https://pdfs.semanticscholar.org/ce42/e3d3374c30a45bec7e615e400b935ead55fe.pdf"" target=""_blank"">German Generation Y’s Purchase Intention towards Packaging-Free Products: A TPB Approach</a>""",English
"Food Packaging ","Corvinus University of Budapest

(Hungary)

Varga, Zsófi",2018,"""<a href=""https://www.bepakt.com/wp-content/uploads/2018/09/Napi-fogyasztási-cikkek-csomagolásának-vizsgálata-a-fenntarthatóság-jegyében.pdf"" target=""_blank"">Napi fogyasztási cikkek csomagolásának vizsgálata a fenntarthatóság jegyében</a>""",Hungarian
Food Packaging / Food Waste,"Institute for European Environmental Policy (IEEP). A study by Zero Waste Europe and Friends of the Earth Europe.
",2018,"""<a href=""http://www.foeeurope.org/sites/default/files/materials_and_waste/2018/unwrapped_-_throwaway_plastic_failing_to_solve_europes_food_waste_problem.pdf"" target=""_blank"">Unwrapped: How throwaway plastic is failing to solve Europe’s food waste problem (and what we need to do instead)""",English (available in other languages)
Microplastics,"The Handbook of Environmental Chemistry 58

Eriksen, Marcus
Thiel, Martin
Prindiville, Matt
Kiessling, Tim",2017,"""<a href=""https://link.springer.com/chapter/10.1007/978-3-319-61615-5_13"" target=""_blank"">Freshwater Microplastics / Microplastic: What Are the Solutions?</a>""",English
Circular Economy,"Novia University of Applied Sciences
(Vaasa/Novia) (11.12.2017)

(Finland)

Bod, Thijs
Durieux ,Killian
Greco, Jonathan
Reuter, Alina",2017,"""<a href=""https://www.novia.fi/assets/Sidor/3/2431/EPS-Report-CircularEconomy-2017.pdf"" target=""_blank"">Final report for the European Project Semester of the Degree Programme : Circular Economy</a>""",English
Packaging-Free / Zero-Waste Shops,"National Sun Yat-Sen University

(Taiwan)

研究生:林薈薰
(Hui-Shiun Lin)

指導教授:鄭義 博士
(Dr. Yih Jeng)",2017,"""<a href=""http://etd.lib.nsysu.edu.tw/ETD-db/ETD-search/getfile?URN=etd-0605117-162147&filename=etd-0605117-162147.pdf"" target=""_blank"">Master of Business Administration in International Business National Sun Yat-Sen University Master Thesis (國立中山大學管理學院國際經營管理碩士學程 碩士論文) - Say No to Plastic Packaging: The Research on Packaging Free Supermarket and Future Development (跟塑膠包裝說不:無包裝超市現況及未來發展之 研究) - June 2017 (中華民國 106年6)</a>""","Chinese (Mandarin, Traditional, Taiwan)"
Packaging-Free / Zero-Waste Shops,"Masaryk University
Faculty of Economics and Administration 

(Czech Republic)

Janotková, Natália (Bc.)",2017,"""<a href=""https://is.muni.cz/th/391129/esf_m/Janotkova_final.pdf"" target=""_blank"">Masarykova univerzita Ekonomicko-správní fakulta Studijní obor: Podniková ekonomika a management - PODNIKATELSKÝ PLÁN (Business plan) - Diplomová práce (2017)</a>""",Czech
Packaging-Free / Zero-Waste Shops,"<a href=""https://www.zerowasteeurope.eu"" target=""_blank"">Zero Waste Europe</a>",2017,"""<a href=""http://zerowasteeurope.eu/wp-content/uploads/2018/01/Position-paper-Plastics-reduction-targets.pdf"" target=""_blank"">Seizing the opportunity: using plastic only where it makes sense</a>""",English
Packaging-Free / Zero-Waste Shops,"Journal of Cleaner Production 

Beitzen-Heineke, Elisa F.
Balta-Ozkan, Nazmiye 
Reefke, Hendrik ",2017,"""<a href=""https://www.researchgate.net/publication/308922063_The_prospects_of_zero-packaging_grocery_stores_to_improve_the_social_and_environmental_impacts_of_the_food_supply_chain"" target=""_blank"">The prospects of zero-packaging grocery stores to improve the social and environmental impacts of the food supply chain</a>""",English
Packaging-Free / Zero-Waste Shops,"Universidade Federal do Rio Grande do Sul. Escola de Administração. Curso de Administração.

(Brazil)

Menti, Luíza Fialho ",2017,"""<a href=""http://www.lume.ufrgs.br/bitstream/handle/10183/169882/001051554.pdf?sequence=1"" target=""_blank"">Disposição dos consumidores de Porto Alegre a comprar em um supermercado sem embalagens : uma alternativa ao desperdício de alimentos""",Portuguese
Packaging-Free / Zero-Waste Shops,"International Institute for Industrial Environmental Economics 

(Sweden)

Smits Sandano, Alexia",2016,"""<a href=""http://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=8893352&fileOId=8893353"" target=""_blank"">IIIEE Thesis 2016. Barriers and Incentives to Zero Packaging Food. Retail: A Global Stocktake. | Thesis for the fulfilment of the Master of Science in Environmental Management and Policy Lund, Sweden, September 2016</a>""",English
"Packaging-Free / Zero-Waste Shops ","Lund University 

Division of Packaging Logistics | Department of Design Sciences Faculty of Engineering LTH 

(Sweden)

Sjölund, Vilhelm",2016,"""<a href=""http://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=8903648&fileOId=8903649"" target=""_blank"">Zero Waste within the food sector and an evaluation of the package-free distribution of two different food products. The environmental impact of different packaging models of oats and rapeseed oil: a case study of a Danish package-free retail store compared to a reference, packaged scenario</a>""",English
"Food Packaging ","Journal of Agricoltural Food Chemistry 

Risch, Sara J.

",2009,"""<a href=""http://www.pfigueiredo.org/Emb_19.pdf"" target=""_blank"">Food Packaging History and Innovations</a>""",English
"Food Packaging ","The Institute of Food Technologists 

(USA)

Marsh, Kennet
Bugusu, Betty

",2007,"""<a href=""http://www.ift.org/~/media/Knowledge%20Center/Science%20Reports/Scientific%20Status%20Summaries/FoodPackagingEnviron_0407.pdf"" target=""_blank"">Food Packaging—Roles, Materials, and Environmental Issues</a>""",English
